index,id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
32,47319,2/5/2017 0:00,Rabies Monitoring,0,D17021329,,Louise Vada,Pitbull,Black,Dog,3 years 2 months.,Female,Stray Dogs Theta,4/5/2017 0:00,Reclaimed,0,,Stray,,Died in care,0,0,0
33,47360,2/11/2017 0:00,Abandoned,0,C17021370,9.8102E+14,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Office,3/7/2017 0:00,Foster,0,4/22/2017 0:00,Stray,6/13/2017 0:00,"UU - untreatable, unmanageable",0,1,0
34,47360,2/11/2017 0:00,Abandoned,0,C17021370,9.8102E+14,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Office,4/25/2017 0:00,Foster,0,6/11/2017 0:00,Stray,6/13/2017 0:00,"UU - untreatable, unmanageable",0,1,0
35,47360,2/11/2017 0:00,Abandoned,0,C17021370,9.8102E+14,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Office,6/12/2017 0:00,Foster,0,6/13/2017 0:00,Stray,6/13/2017 0:00,"UU - untreatable, unmanageable",0,1,0
36,47395,2/13/2017 0:00,Abandoned,0,C17021405,9.8102E+14,Gooseberry,Domestic Short Hair,Tortie,Cat,13 years 9 months.,Female,Adoptable Cat Big Colony,4/11/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
37,47402,2/14/2017 0:00,Abandoned,0,D17021412,9.8102E+14,Precious,Shep Mix/Mix,Ruddy,Dog,4 years 9 months.,Female,Adoptable Dogs,3/21/2017 0:00,Foster,0,4/9/2017 0:00,Stray,,Died in care,0,0,0
38,47402,2/14/2017 0:00,Abandoned,0,D17021412,9.8102E+14,Precious,Shep Mix/Mix,Ruddy,Dog,4 years 9 months.,Female,Adoptable Dogs,4/10/2017 0:00,Foster,0,5/3/2017 0:00,Stray,,Died in care,0,0,0
39,47402,2/14/2017 0:00,Abandoned,0,D17021412,9.8102E+14,Precious,Shep Mix/Mix,Ruddy,Dog,4 years 9 months.,Female,Adoptable Dogs,5/5/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
40,47414,2/16/2017 0:00,Abandoned,0,D17021424,9.8102E+14,Beemo,Pitbull/Mix,Blue,Dog,6 years 10 months.,Male,Stray Dogs Beta,4/15/2017 0:00,Adoption,0,7/12/2017 0:00,Rabies Monitoring,,Died in care,0,0,0
41,47414,2/16/2017 0:00,Abandoned,0,D17021424,9.8102E+14,Beemo,Pitbull/Mix,Blue,Dog,6 years 10 months.,Male,Stray Dogs Beta,7/22/2017 0:00,Reclaimed,0,8/22/2017 0:00,Rabies Monitoring,,Died in care,0,0,0
42,47414,2/16/2017 0:00,Abandoned,0,D17021424,9.8102E+14,Beemo,Pitbull/Mix,Blue,Dog,6 years 10 months.,Male,Stray Dogs Beta,9/2/2017 0:00,Reclaimed,0,,Stray,,Died in care,0,0,0
43,47429,2/18/2017 0:00,Abandoned,0,C17021438,9.8102E+14,Ellen,British Shorthair/Unknown,Grey,Cat,11 years 9 months.,Female,Office,3/5/2017 0:00,Foster,0,4/26/2017 0:00,Stray,,Died in care,0,0,0
44,47429,2/18/2017 0:00,Abandoned,0,C17021438,9.8102E+14,Ellen,British Shorthair/Unknown,Grey,Cat,11 years 9 months.,Female,Office,4/26/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
45,47432,2/18/2017 0:00,Abandoned,0,R17021441,,Fitzgerald,American,Black,House Rabbit,3 years 9 months.,Male,Lobby,3/30/2017 0:00,Foster,0,4/17/2017 0:00,Stray,,Died in care,0,0,0
46,47432,2/18/2017 0:00,Abandoned,0,R17021441,,Fitzgerald,American,Black,House Rabbit,3 years 9 months.,Male,Lobby,5/1/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47,47502,2/27/2017 0:00,Marriage/Relationship split,0,D17021511,9.8102E+14,Zoey,Pitbull/Mix,Grey and White,Dog,2 years 8 months.,Female,Stray Dogs Beta,4/8/2017 0:00,Adoption,0,5/5/2017 0:00,Marriage/Relationship split,,Died in care,0,0,0
48,47502,2/27/2017 0:00,Marriage/Relationship split,0,D17021511,9.8102E+14,Zoey,Pitbull/Mix,Grey and White,Dog,2 years 8 months.,Female,Stray Dogs Beta,6/1/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
49,47510,2/28/2017 0:00,Abandoned,0,C17021519,9.8102E+14,Maureen,Domestic Short Hair,Brown and Black,Cat,2 years 8 months.,Female,Adoptable Cat Big Colony,4/2/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
50,47511,2/28/2017 0:00,Abandoned,0,C17021520,9.8102E+14,Janet,DSH/Unknown,Grey,Cat,4 years 2 months.,Female,Adoptable Cat Small Colony,4/1/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
51,47520,3/2/2017 0:00,Abandoned,0,C17031529,9.8102E+14,Ruce,DSH/Unknown,Black and White,Cat,3 years 10 months.,Male,Adoptable Cat Big Colony,4/4/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
52,47521,3/2/2017 0:00,Abandoned,0,C17031530,9.8102E+14,Ramsay,DSH/Unknown,Orange and White,Cat,3 years 10 months.,Male,Adoptable Cat Kennels,4/7/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
53,47538,3/4/2017 0:00,Abandoned,0,D17031547,9.8102E+14,Gus,Labrador Retriever/Coonhound,Chocolate,Dog,2 years 10 months.,Male,Foster,4/3/2017 0:00,Adoption,0,,Stray,,Healthy,0,0,0
54,47539,3/4/2017 0:00,Abandoned,0,C17031548,9.8102E+14,Zack Attack,DSH/Unknown,Grey and White,Cat,4 years 9 months.,Male,Adoptable Cat Glass Colony,4/1/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
55,47540,3/4/2017 0:00,Abandoned,0,C17031549,9.8102E+14,Buggs,DSH/Unknown,Black,Cat,1 year 11 months.,Male,Adoptable Cat Glass Colony,4/1/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
56,47558,3/6/2017 0:00,Abandoned,0,D17031567,9.8102E+14,Clyde,"Golden Retriever/Poodle, Standard",Golden,Dog,6 years 2 months.,Male,Adoptable Dogs,3/29/2017 0:00,Adoption,0,4/4/2017 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
57,47558,3/6/2017 0:00,Abandoned,0,D17031567,9.8102E+14,Clyde,"Golden Retriever/Poodle, Standard",Golden,Dog,6 years 2 months.,Male,Adoptable Dogs,4/12/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
58,47562,3/6/2017 0:00,Abandoned,0,C17031571,9.8102E+14,Garden,DSH/Unknown,White,Cat,6 years 8 months.,Male,Adoptable Cat Kennels,3/31/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
59,47575,3/7/2017 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,3/10/2017 0:00,Foster,0,4/15/2017 0:00,Stray,,Died in care,0,0,0
60,47575,3/7/2017 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,4/15/2017 0:00,Adoption,0,5/12/2017 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
61,47575,3/7/2017 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,5/12/2017 0:00,Foster,0,5/15/2017 0:00,Stray,,Died in care,0,0,0
62,47575,3/7/2017 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,5/16/2017 0:00,Adoption,0,12/27/2017 0:00,Moving,,Died in care,0,0,0
63,47575,3/7/2017 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,12/30/2017 0:00,Adoption,0,10/5/2018 0:00,Landlord issues,,Died in care,0,0,0
64,47575,3/7/2017 0:00,Moving,0,D17031584,9.82E+14,Bella Boo!,Mastiff,Brindle,Dog,4 years 4 months.,Female,Adoptable Dogs,10/15/2018 0:00,Adoption,0,,Stray,,Died in care,0,0,0
65,47576,3/7/2017 0:00,Abandoned,0,D17031585,9.8102E+14,Patty,Pitbull,Tan,Dog,3 years 5 months.,Female,Adoptable Dogs,6/5/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
66,47582,3/7/2017 0:00,Abandoned,0,D17031591,9.8102E+14,Dibs,Pitbull/Mix,White,Dog,2 years 10 months.,Male,Stray Dogs Beta,4/25/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
67,47591,3/9/2017 0:00,Abandoned,0,D17031600,9.8102E+14,Serafina,Papillon,White,Dog,6 years 9 months.,Female,Foster,3/16/2017 0:00,Foster,0,5/22/2017 0:00,Stray,,Died in care,0,0,0
68,47591,3/9/2017 0:00,Abandoned,0,D17031600,9.8102E+14,Serafina,Papillon,White,Dog,6 years 9 months.,Female,Foster,5/22/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
69,47595,3/9/2017 0:00,Owner Deceased,0,C17031604,9.8102E+14,Zips,Domestic Short Hair,Black and White,Cat,8 years 8 months.,Female,Adoptable Cat Big Colony,6/16/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
70,47613,3/10/2017 0:00,Abandoned,0,D17031620,9.8102E+14,Waylon,Beagle,Tricolour,Dog,4 years 8 months.,Male,Stray Dogs Beta,4/2/2017 0:00,Adoption,0,9/5/2017 0:00,Stray,,Died in care,0,0,0
71,47613,3/10/2017 0:00,Abandoned,0,D17031620,9.8102E+14,Waylon,Beagle,Tricolour,Dog,4 years 8 months.,Male,Stray Dogs Beta,9/5/2017 0:00,Reclaimed,0,9/5/2017 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
72,47613,3/10/2017 0:00,Abandoned,0,D17031620,9.8102E+14,Waylon,Beagle,Tricolour,Dog,4 years 8 months.,Male,Stray Dogs Beta,9/6/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
73,47617,3/10/2017 0:00,Abandoned,0,C17031624,9.8102E+14,Jesse,DSH/Unknown,Grey and White,Cat,5 years 8 months.,Female,Adoptable Cat Kennels,4/7/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
74,47627,3/11/2017 0:00,Abandoned,0,C17031634,9.8102E+14,Binks,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Feline Nursery,4/6/2017 0:00,Foster,0,5/10/2017 0:00,Stray,,Died in care,0,0,0
75,47627,3/11/2017 0:00,Abandoned,0,C17031634,9.8102E+14,Binks,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Feline Nursery,5/14/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
76,47628,3/11/2017 0:00,Abandoned,0,C17031635,9.8102E+14,Bobbin,DSH/Unknown,Fawn,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,4/6/2017 0:00,Foster,0,5/17/2017 0:00,Stray,,Died in care,0,0,0
77,47628,3/11/2017 0:00,Abandoned,0,C17031635,9.8102E+14,Bobbin,DSH/Unknown,Fawn,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,5/18/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
78,47629,3/11/2017 0:00,Abandoned,0,C17031636,9.8102E+14,Binkie,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,4/6/2017 0:00,Foster,0,5/17/2017 0:00,Stray,,Died in care,0,0,0
79,47629,3/11/2017 0:00,Abandoned,0,C17031636,9.8102E+14,Binkie,DSH/Unknown,Buff,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,5/18/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
80,47630,3/11/2017 0:00,Abandoned,0,C17031637,9.8102E+14,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,4/6/2017 0:00,Foster,0,4/18/2017 0:00,Stray,,Died in care,0,0,0
81,47630,3/11/2017 0:00,Abandoned,0,C17031637,9.8102E+14,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,4/18/2017 0:00,Foster,0,5/10/2017 0:00,Stray,,Died in care,0,0,0
82,47630,3/11/2017 0:00,Abandoned,0,C17031637,9.8102E+14,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,5/16/2017 0:00,Foster,0,6/15/2017 0:00,Stray,,Died in care,0,0,0
83,47630,3/11/2017 0:00,Abandoned,0,C17031637,9.8102E+14,Stan,DSH/Unknown,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,6/15/2017 0:00,Adoption,0,,Stray,,Died in care,0,0,0
84,47631,3/11/2017 0:00,Abandoned,0,C17031638,9.8102E+14,Boomer,DLH/Unknown,Orange,Cat,1 year 9 months.,Male,Feline Nursery,4/6/2017 0:00,Foster,0,4/18/2017 0:00,Stray,,Died in care,0,0,0
